Fecha,Fecha_dt,Tipo_Dia,Temperatura_Media_GBA,Demanda_Dia_Anterior,Mes_Estacional,Demanda_Actual,Cantidad_Cortes,Total_Usuarios_Afectados,Alerta_Corte
02/01/2020,02/01/2020,1,28.3,8323.3,1,7345.4,5574,399407,1
03/01/2020,03/01/2020,1,31.1,7345.4,1,8080.7,26086,1845210,1
04/01/2020,04/01/2020,0,34.2,8080.7,1,8262.5,65890,1470260,1
05/01/2020,05/01/2020,0,28,8262.5,1,6570,4440,376969,1
06/01/2020,06/01/2020,1,28.1,6570,1,7610.9,8325,605088,0
07/01/2020,07/01/2020,1,34.4,7610.9,1,8986.1,75602,5939810,1
08/01/2020,08/01/2020,1,31.6,8986.1,1,8016.3,29881,1666485,1
09/01/2020,09/01/2020,1,27.3,8016.3,1,7233.5,3668,228556,0
10/01/2020,10/01/2020,1,30.9,7233.5,1,7681.9,22630,1398070,1
11/01/2020,11/01/2020,0,27.4,7681.9,1,6382.6,4981,450444,1
12/01/2020,12/01/2020,0,27.4,6382.6,1,6340,1305,81464,0
13/01/2020,13/01/2020,1,29.8,6340,1,7687.6,14443,1612607,1
14/01/2020,14/01/2020,1,22.3,7687.6,1,6261.4,3885,305428,0
15/01/2020,15/01/2020,1,23,6261.4,1,5735.4,2786,123938,0
16/01/2020,16/01/2020,1,27,5735.4,1,6885.4,3508,236541,0
17/01/2020,17/01/2020,1,25.4,6885.4,1,6677.9,4544,258855,0
18/01/2020,18/01/2020,0,30.1,6677.9,1,7073,15840,413619,1
19/01/2020,19/01/2020,0,25.8,7073,1,5641.7,1285,131056,0
20/01/2020,20/01/2020,1,24,5641.7,1,6679.7,4230,355585,0
21/01/2020,21/01/2020,1,34.1,6679.7,1,8565.1,68720,5543240,1
22/01/2020,22/01/2020,1,28.1,8565.1,1,7615.8,5140,376803,1
23/01/2020,23/01/2020,1,29.1,7615.8,1,7703.2,9417,398900,1
24/01/2020,24/01/2020,1,23.9,7703.2,1,6106.1,2774,167348,0
25/01/2020,25/01/2020,0,26.9,6106.1,1,6757.6,4787,415682,0
26/01/2020,26/01/2020,0,29.2,6757.6,1,6441.9,8682,425206,0
27/01/2020,27/01/2020,1,24.8,6441.9,1,6775.7,1320,26400,0
28/01/2020,28/01/2020,1,30.1,6775.7,1,8125.2,17067,1117169,1
29/01/2020,29/01/2020,1,26.6,8125.2,1,6748.8,3268,219494,0
30/01/2020,30/01/2020,1,27.6,6748.8,1,7617.7,5864,426378,0
31/01/2020,31/01/2020,1,26.5,7617.7,1,6850,3904,330162,0
01/02/2020,01/02/2020,0,35.1,6850,2,8361.6,84764,7014400,1
02/02/2020,02/02/2020,0,28.5,8361.6,2,6703.1,9427,708678,1
03/02/2020,03/02/2020,1,24.8,6703.1,2,6459.7,3397,319014,0
04/02/2020,04/02/2020,1,31.3,6459.7,2,8368.2,31442,1245751,1
05/02/2020,05/02/2020,1,24.1,8368.2,2,6563,2772,222014,0
06/02/2020,06/02/2020,1,29,6563,2,7025.4,8600,709764,0
07/02/2020,07/02/2020,1,21.4,7025.4,2,6691.3,4259,192544,0
08/02/2020,08/02/2020,0,23.5,6691.3,2,5001.3,4827,192802,0
09/02/2020,09/02/2020,0,28.8,5001.3,2,7009.8,8474,466757,0
10/02/2020,10/02/2020,1,30.6,7009.8,2,8288,23800,1351106,1
11/02/2020,11/02/2020,1,28.5,8288,2,7097.7,5227,444652,1
12/02/2020,12/02/2020,1,27.5,7097.7,2,7051.8,2442,140925,0
13/02/2020,13/02/2020,1,26.7,7051.8,2,6643.3,3498,184949,0
14/02/2020,14/02/2020,1,22.5,6643.3,2,6235.5,4399,254118,0
15/02/2020,15/02/2020,0,25.1,6235.5,2,5682.6,2665,246173,0
16/02/2020,16/02/2020,0,25.9,5682.6,2,6208.9,4597,322989,0
17/02/2020,17/02/2020,1,31.1,6208.9,2,8468.1,30191,2005134,1
18/02/2020,18/02/2020,1,28.5,8468.1,2,7843.7,6044,409782,1
19/02/2020,19/02/2020,1,21.1,7843.7,2,6131.3,1744,167147,0
20/02/2020,20/02/2020,1,28.3,6131.3,2,7312.2,4817,265014,0
21/02/2020,21/02/2020,1,25.7,7312.2,2,6220,3461,333329,0
22/02/2020,22/02/2020,0,24.6,6220,2,5408.2,2213,164226,0
23/02/2020,23/02/2020,0,29,5408.2,2,7039.5,9828,656427,0
24/02/2020,24/02/2020,1,30.3,7039.5,2,8359.7,21002,2520618,1
25/02/2020,25/02/2020,1,29.9,8359.7,2,7404.7,13151,642915,1
26/02/2020,26/02/2020,1,23.6,7404.7,2,6122.3,846,53235,0
27/02/2020,27/02/2020,1,25.3,6122.3,2,6617.1,1026,46530,0
